,,,,,,,,June 1,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise ID,Account,Team ID,Rooftop Name,Agent Opted,Go-Live Date,ARR,MRR,Days Live,# Total Leads,# Leads Interacted,% TOFU Capture,# Qualified Leads,# Transfers,% Transfers,# Appt Booked,% Appt Conversion,Quality,STL enabled?,Afterhours / Overflow / Roundrobin,Smartview Widget,Multiday followup,Coverage,Customer Sentiment,CPA,Apt value,ROI Multiple,ROI based RAG,Sorting RAG,Next Step Owner,Next Step Owner Team,Tasks to turn green,Avg lead/day
b81a8498a,CornHusker Group,3f96401f8d,Courtesy Ford,Service Inbound,May 15,"$4,800",$400,17,31,31,100.00%,13,1,3.23%,5,38.46%,,,,,,,,$50,$441,1.10,Red,,,CSM,- Improve top the funnel,2
b81a8498a,CornHusker Group,3f96401f8d,Courtesy Ford,Service Outbound,May 15,"$4,800",$400,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
b81a8498a,CornHusker Group,3b8dee0632,CornHusker Auto Center,Sales Outbound,May 15,"$4,800",400,17,,0,,0,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
b81a8498a,CornHusker Group,3b8dee0632,CornHusker Auto Center,Service Inbound,May 15,"$4,800",400,17,32,32,100.00%,8,1,3.13%,1,12.50%,,,,,,,,$50,$88,0.22,Red,,,CSM,- Improve top the funnel,2
b81a8498a,CornHusker Group,3b8dee0632,CornHusker Auto Center,Service Outbound,May 15,"$4,800",400,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
7d06f7427,Brandon Steven Motors,49a06313cf,Covina Kia,Sales Inbound,May 12,"$3,600",$300,20,1727,40,2.32%,9,7,17.50%,6,66.67%,,NA,,NA,,,,$100.00,$600.00,3.00,Amber,002-Amber,,,,86
7d06f7427,Brandon Steven Motors,49a06313cf,Covina Kia,Service Inbound,Apr 29,"$3,600",$300,33,"1,568","1,568",100.00%,628,654,41.71%,307,48.89%,,,,,,,,$50,"$15,350",51.17,Green,,,,,52
7d06f7427,Brandon Steven Motors,1a916c0965,Carson Hyundai,Sales Inbound,May 12,"$3,600",$300,20,2,1,50.00%,1,0,0.00%,1,100.00%,,Check,Check,Check,Check,,,$100.00,$100.00,0.50,Red,001-Red,,CSM,Enable STL + Followups,0
7d06f7427,Brandon Steven Motors,1a916c0965,Carson Hyundai,Service Inbound,May 12,"$3,600",$300,20,2,2,100.00%,1,0,0.00%,0,0.00%,,,,,,,,$50,$0,0.00,Red,,,CSM,- Improve top the funnel,0
7d06f7427,Brandon Steven Motors,5c99ab695a,Eddie VW,Sales Inbound,May 31,"$3,600",$300,1,000,000,0.00%,000,000,0.00%,000,0.00%,,Check,Check,Check,Check,,,$100.00,$0.00,0.00,Red,001-Red,,CSM,Enable STL + Followups,0
7d06f7427,Brandon Steven Motors,5c99ab695a,Eddie VW,Service Inbound,May 31,"$3,600",$300,1,Not live,Not live,Not live,Not live,Not live,Not live,Not live,Not live,,,,,,,,Not live,Not live,Not live,Not live,,,,,Not live
7d06f7427,Brandon Steven Motors,9923577d07,Honda DTLA,Sales Inbound,May 31,"$3,600",$300,1,2,3,150.00%,1,0,0.00%,1,100.00%,,NA,,NA,,,,$100.00,$100.00,10.00,Green,003-Green,,,,2
7d06f7427,Brandon Steven Motors,9923577d07,Honda DTLA,Service Inbound,Apr 01,"$3,600",$300,61,"3,428","3,428",100.00%,"1,401","1,482",43.23%,546,38.97%,,,,,,,,$50,"$27,300",91.00,Green,,,,,114
7d06f7427,Brandon Steven Motors,a0a4332434,Subaru Wichita,Sales Inbound,Apr 30,"$3,600",$300,32,737,1,0.14%,0,0,0.00%,0,0.00%,,,,,,,,$100.00,$0.00,0.00,Red,001-Red,,CSM,Enable STL + Followups,25
